Account Id,Account Name,Address1,Address2,City,County,State,Zip,Year Built
13,Bed and Breakfast PM - Escrowed Locations,10 Mavern Ave,,Hamilton,Butler,OH,45013-2416,1947
13,Bed and Breakfast PM - Escrowed Locations,100 Kaitlin Way,,Monroe,Butler,OH,45050-2596,2017
13,Bed and Breakfast PM - Escrowed Locations,1000 Nelbar St,,Middletown,Butler,OH,45042-2531,1929
13,Bed and Breakfast PM - Escrowed Locations,1003 Sorg Pl,,Middletown,Butler,OH,45042-3351,1952
13,Bed and Breakfast PM - Escrowed Locations,1006 Hazel Ave,,Englewood,Montgomery,OH,45322-2425,1964
13,Bed and Breakfast PM - Escrowed Locations,1007 Bellaire Ave,,Dayton,Montgomery,OH,45420-2313,1911
13,Bed and Breakfast PM - Escrowed Locations,1007 Elwood St,,Middletown,Butler,OH,45042-2334,1917
13,Bed and Breakfast PM - Escrowed Locations,1007 Midway St,,Middletown,Butler,OH,45042-2526,1993
13,Bed and Breakfast PM - Escrowed Locations,1009 Auburn St,,Middletown,Butler,OH,45042-2328,1917
13,Bed and Breakfast PM - Escrowed Locations,101 Kaitlin Way,,Monroe,Butler,OH,45050-2597,2016
13,Bed and Breakfast PM - Escrowed Locations,101 N Marshall Rd,,Middletown,Butler,OH,45042-3821,1957
13,Bed and Breakfast PM - Escrowed Locations,101 Rosewood Dr,,Dayton,Montgomery,OH,45415-3009,1957
13,Bed and Breakfast PM - Escrowed Locations,1010 Nelbar St,,Middletown,Butler,OH,45042-2531,1920
13,Bed and Breakfast PM - Escrowed Locations,1013 Allen Ave,,Hamilton,Butler,OH,45015-2013,1953
13,Bed and Breakfast PM - Escrowed Locations,1013 Park Ave,,Hamilton,Butler,OH,45013-2663,1929
13,Bed and Breakfast PM - Escrowed Locations,1015 S Main St,,Middletown,Butler,OH,45044-5549,1914
13,Bed and Breakfast PM - Escrowed Locations,1017 Vine St,,Hamilton,Butler,OH,45011-1753,1904
13,Bed and Breakfast PM - Escrowed Locations,1019 Burleigh Ave,,Dayton,Montgomery,OH,45402-4146,1930
13,Bed and Breakfast PM - Escrowed Locations,1019 Minor Ave,,Hamilton,Butler,OH,45015-1563,1921
13,Bed and Breakfast PM - Escrowed Locations,102 Kaitlin Way,,Monroe,Butler,OH,45050-2596,2016
13,Bed and Breakfast PM - Escrowed Locations,1024 Clinton Ave,,Hamilton,Butler,OH,45015-1830,1929
13,Bed and Breakfast PM - Escrowed Locations,1029 Laurel Ave,,Hamilton,Butler,OH,45015-1638,1950
13,Bed and Breakfast PM - Escrowed Locations,103 Monroe St,,Middletown,Butler,OH,45042-3212,1914
13,Bed and Breakfast PM - Escrowed Locations,103 Ramsey Dr,,Hamilton,Butler,OH,45013-4054,2017
13,Bed and Breakfast PM - Escrowed Locations,1031 Depauw Dr,,Fairfield,Butler,OH,45014-2811,1964
13,Bed and Breakfast PM - Escrowed Locations,1033 Tiffin Ave,,Hamilton,Butler,OH,45015-1851,1930
13,Bed and Breakfast PM - Escrowed Locations,1037 Noyes Ave,,Hamilton,Butler,OH,45015-2031,1952
13,Bed and Breakfast PM - Escrowed Locations,104 Kaitlin Way,,Monroe,Butler,OH,45050-2596,2016
13,Bed and Breakfast PM - Escrowed Locations,104 Progress Ave,,Hamilton,Butler,OH,45013-3038,1920
13,Bed and Breakfast PM - Escrowed Locations,1040 Franklin St,,Hamilton,Butler,OH,45013-2516,1929
13,Bed and Breakfast PM - Escrowed Locations,1040 Hunt Ave,,Hamilton,Butler,OH,45013-2524,1904
13,Bed and Breakfast PM - Escrowed Locations,1045 Hayes Ave,,Hamilton,Butler,OH,45015-2021,1950
13,Bed and Breakfast PM - Escrowed Locations,1050 Brough Ave,,Hamilton,Butler,OH,45015-1863,1952
13,Bed and Breakfast PM - Escrowed Locations,1052 Demphle Ave,,Dayton,Montgomery,OH,45410-1919,1905
13,Bed and Breakfast PM - Escrowed Locations,1059 Hayes Ave,,Hamilton,Butler,OH,45015-2021,1950
13,Bed and Breakfast PM - Escrowed Locations,106 Burton Rd,,Middletown,Butler,OH,45044-5124,1949
13,Bed and Breakfast PM - Escrowed Locations,106 Dartmouth St,,Trenton,Butler,OH,45067-9100,2004
13,Bed and Breakfast PM - Escrowed Locations,106 Kaitlin Way,,Monroe,Butler,OH,45050-2596,2017
13,Bed and Breakfast PM - Escrowed Locations,106 McKinley St,,Middletown,Butler,OH,45042-3253,1914
13,Bed and Breakfast PM - Escrowed Locations,1060 Marcellus Dr,,Vandalia,Montgomery,OH,45377-1146,1963
13,Bed and Breakfast PM - Escrowed Locations,107 N 2nd St,,Trenton,Butler,OH,45067-1331,1900
13,Bed and Breakfast PM - Escrowed Locations,10732 Sharondale Rd,,Cincinnati,Hamilton,OH,45241-2824,1961
13,Bed and Breakfast PM - Escrowed Locations,10789 Sharondale Rd,,Cincinnati,Hamilton,OH,45241-2825,1962
13,Bed and Breakfast PM - Escrowed Locations,10793 Cragview Ct,,Sharonville,Hamilton,OH,45241-2719,1960
13,Bed and Breakfast PM - Escrowed Locations,108 Cole Dr,,Fairfield,Butler,OH,45014-1504,1956
13,Bed and Breakfast PM - Escrowed Locations,108 Kaitlin Way,,Monroe,Butler,OH,45050-2596,2017
13,Bed and Breakfast PM - Escrowed Locations,108 Lakeview Dr,,Middletown,Butler,OH,45044-8000,1997
13,Bed and Breakfast PM - Escrowed Locations,108 Monroe St,,Middletown,Butler,OH,45042-3213,1909
13,Bed and Breakfast PM - Escrowed Locations,108 W Home Ave,,Trenton,Butler,OH,45067-1611,1957
13,Bed and Breakfast PM - Escrowed Locations,109 Cranewood Dr,,Trenton,Butler,OH,45067-1211,1956
13,Bed and Breakfast PM - Escrowed Locations,109 McKinley St,,Middletown,Butler,OH,45042-3252,1900
13,Bed and Breakfast PM - Escrowed Locations,109 Redwood Ave,,Dayton,Montgomery,OH,45405-5113,1924
13,Bed and Breakfast PM - Escrowed Locations,109 Verlyn Ave,,Hamilton,Butler,OH,45013-2425,1945
13,Bed and Breakfast PM - Escrowed Locations,10915 Fernhill Dr,,Cincinnati,Hamilton,OH,45241-2722,1964
13,Bed and Breakfast PM - Escrowed Locations,1097 Leonard Ave,,Hamilton,Butler,OH,45013-1844,1975
13,Bed and Breakfast PM - Escrowed Locations,11 Arcadia Dr,,Middletown,Butler,OH,45042-3927,1956
13,Bed and Breakfast PM - Escrowed Locations,11 High St,,Franklin,Warren,OH,45005-2215,1900
13,Bed and Breakfast PM - Escrowed Locations,11 Lawson Ave,,Hamilton,Butler,OH,45013-2304,1922
13,Bed and Breakfast PM - Escrowed Locations,110 Kaitlin Way,,Monroe,Butler,OH,45050-2596,2016
13,Bed and Breakfast PM - Escrowed Locations,110 N Heinkel Rd,,Middletown,Butler,OH,45042-3839,1956
13,Bed and Breakfast PM - Escrowed Locations,110 Redder Ave,,Dayton,Montgomery,OH,45405-2224,1953
13,Bed and Breakfast PM - Escrowed Locations,110 W Hudson Ave,,Dayton,Montgomery,OH,45405-3327,1925
13,Bed and Breakfast PM - Escrowed Locations,1104 Vine St,,Hamilton,Butler,OH,45011-1756,1900
13,Bed and Breakfast PM - Escrowed Locations,1105 Vine St,,Hamilton,Butler,OH,45011-1755,1900
13,Bed and Breakfast PM - Escrowed Locations,1107 Baltimore St,,Middletown,Butler,OH,45044-5806,1904
13,Bed and Breakfast PM - Escrowed Locations,111 Fairborn Dr,,Hamilton,Butler,OH,45013-3521,1970
13,Bed and Breakfast PM - Escrowed Locations,111 Forestwood Ave,,Vandalia,Montgomery,OH,45377-1905,1951
13,Bed and Breakfast PM - Escrowed Locations,111 N Highview Dr,,Middletown,Butler,OH,45042-3713,1953
13,Bed and Breakfast PM - Escrowed Locations,11169 Maple St,,Cincinnati,Hamilton,OH,45241-2651,1915
13,Bed and Breakfast PM - Escrowed Locations,112 Cliff St,,Dayton,Montgomery,OH,45405-2806,1940
13,Bed and Breakfast PM - Escrowed Locations,112 Elvin Ave,,Hamilton,Butler,OH,45013-3005,1928
13,Bed and Breakfast PM - Escrowed Locations,112 Heaton Ave,,Dayton,Montgomery,OH,45410-1730,1911
13,Bed and Breakfast PM - Escrowed Locations,112 Iroquois Ave,,Dayton,Montgomery,OH,45405-3540,1943
13,Bed and Breakfast PM - Escrowed Locations,112 Kaitlin Way,,Monroe,Butler,OH,45050-2596,2017
13,Bed and Breakfast PM - Escrowed Locations,112 N Highview Dr,,Middletown,Butler,OH,45042-3714,1956
13,Bed and Breakfast PM - Escrowed Locations,112 N Sutphin St,,Middletown,Butler,OH,45042-3221,1914
13,Bed and Breakfast PM - Escrowed Locations,1125 Vine St,,Hamilton,Butler,OH,45011-1755,1929
13,Bed and Breakfast PM - Escrowed Locations,113 McKinley St,,Middletown,Butler,OH,45042-3252,1900
13,Bed and Breakfast PM - Escrowed Locations,1132 Goodman Ave,,Hamilton,Butler,OH,45013-2522,1950
13,Bed and Breakfast PM - Escrowed Locations,1133 Minor Ave,,Hamilton,Butler,OH,45015-1640,1952
13,Bed and Breakfast PM - Escrowed Locations,114 Heaton Ave,,Dayton,Montgomery,OH,45410-1730,1905
13,Bed and Breakfast PM - Escrowed Locations,114 Moore St,,Middletown,Butler,OH,45044-4447,1900
13,Bed and Breakfast PM - Escrowed Locations,114 Valencia St,,Cincinnati,Hamilton,OH,45219-1826,1910
13,Bed and Breakfast PM - Escrowed Locations,114 W Sunrise Ave,,Dayton,Montgomery,OH,45426-3528,1952
