Account ID,Account Name,Address 1*,Address 2,City*,County*,State*,Zip*,Year Built,Community Name,Unit Number for Site,Office Address,Office Unit,Office City,Office State,Office Zip
32,Avenue Living,915 Teal Court,1,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-01,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,2,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-02,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,3,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-03,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,4,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-04,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,5,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-05,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,6,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-06,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,7,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-07,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,8,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-08,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,9,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-09,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,11,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-11,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,12,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-12,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,13,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-13,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,14,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-14,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,15,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-15,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,16,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-16,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,17,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-17,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,18,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-18,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,19,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-19,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,20,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-20,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,21,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-21,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,22,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-22,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,23,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-23,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,24,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-24,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,25,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-25,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,26,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-26,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,27,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-27,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,28,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-28,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,29,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-29,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,915 Teal Court,30,Colorado Springs,El Paso,Colorado,80910,,The Monroe,915-30,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,3040 Mallard Drive,11,Colorado Springs,El Paso,Colorado,80910,,The Monroe,3040-11,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,3040 Mallard Drive,12,Colorado Springs,El Paso,Colorado,80910,,The Monroe,3040-12,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,3040 Mallard Drive,13,Colorado Springs,El Paso,Colorado,80910,,The Monroe,3040-13,3040 Mallard Drive,21,Colorado Springs,CO,80910
32,Avenue Living,3040 Mallard Drive,14,Colorado Springs,El Paso,Colorado,80910,,The Monroe,3040-14,3040 Mallard Drive,21,Colorado Springs,CO,80910
